"Intent","Entity","Question"
"Lugares_rutas","Lugares","Que camion pasa Plaza del Sol"
"Lugares_rutas","Lugares","Que camion pasa Plaza patria"
"Lugares_rutas","Lugares","Que camion pasa Avenida Aviacion"
"Lugares_rutas","Lugares","Que camion pasa Av Calma"
"Lugares_rutas","Lugares","Que camion pasa Gran Plaza"
"Lugares_rutas","Lugares","Que camion pasa Providencia"
"Lugares_rutas","Lugares","Que camion pasa Glorieta Minerva"
"Lugares_rutas","Lugares","Que camion pasa Plaza Andares"
"Lugares_rutas","Lugares","Que camion pasa Plaza Galerias"
"Lugares_rutas","Lugares","Que camion pasa Zapopan"
"Lugares_rutas","Lugares","Que camion pasa UVM Sur"
"Lugares_rutas","Lugares","Que camion pasa Mariano Otero"
"Lugares_rutas","Lugares","Que camion pasa Chapala"
"Lugares_rutas","Lugares","Que camion pasa Centro"
"Lugares_rutas","Lugares","Que camion pasa Av Belisario Dominguez"
"Lugares_rutas","Lugares","Que camion pasa Periferico"
"Lugares_rutas","Lugares","Que camion pasa Av 18 de marzo"
"Lugares_rutas","Lugares","Que camion pasa Av Chapultepec"
"Lugares_rutas","Lugares","Que camion pasa Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Que camion pasa Av Lopez Mateos"
"Lugares_rutas","Lugares","Que camion pasa Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Que camion pasa Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Que camion pasa El Fortin"
"Lugares_rutas","Lugares","Que camion pasa Expo Guadalajara"
"Lugares_rutas","Lugares","Que camion pasa Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Que ruta pasa Plaza del Sol"
"Lugares_rutas","Lugares","Que ruta pasa Plaza patria"
"Lugares_rutas","Lugares","Que ruta pasa Avenida Aviacion"
"Lugares_rutas","Lugares","Que ruta pasa Av Calma"
"Lugares_rutas","Lugares","Que ruta pasa Gran Plaza"
"Lugares_rutas","Lugares","Que ruta pasa Providencia"
"Lugares_rutas","Lugares","Que ruta pasa Glorieta Minerva"
"Lugares_rutas","Lugares","Que ruta pasa Plaza Andares"
"Lugares_rutas","Lugares","Que ruta pasa Plaza Galerias"
"Lugares_rutas","Lugares","Que ruta pasa Zapopan"
"Lugares_rutas","Lugares","Que ruta pasa UVM Sur"
"Lugares_rutas","Lugares","Que ruta pasa Mariano Otero"
"Lugares_rutas","Lugares","Que ruta pasa Chapala"
"Lugares_rutas","Lugares","Que ruta pasa Centro"
"Lugares_rutas","Lugares","Que ruta pasa Av Belisario Dominguez"
"Lugares_rutas","Lugares","Que ruta pasa Periferico"
"Lugares_rutas","Lugares","Que ruta pasa Av 18 de marzo"
"Lugares_rutas","Lugares","Que ruta pasa Av Chapultepec"
"Lugares_rutas","Lugares","Que ruta pasa Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Que ruta pasa Av Lopez Mateos"
"Lugares_rutas","Lugares","Que ruta pasa Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Que ruta pasa Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Que ruta pasa El Fortin"
"Lugares_rutas","Lugares","Que ruta pasa Expo Guadalajara"
"Lugares_rutas","Lugares","Que ruta pasa Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Cual ruta pasa Plaza del Sol"
"Lugares_rutas","Lugares","Cual ruta pasa Plaza patria"
"Lugares_rutas","Lugares","Cual ruta pasa Avenida Aviacion"
"Lugares_rutas","Lugares","Cual ruta pasa Av Calma"
"Lugares_rutas","Lugares","Cual ruta pasa Gran Plaza"
"Lugares_rutas","Lugares","Cual ruta pasa Providencia"
"Lugares_rutas","Lugares","Cual ruta pasa Glorieta Minerva"
"Lugares_rutas","Lugares","Cual ruta pasa Plaza Andares"
"Lugares_rutas","Lugares","Cual ruta pasa Plaza Galerias"
"Lugares_rutas","Lugares","Cual ruta pasa Zapopan"
"Lugares_rutas","Lugares","Cual ruta pasa UVM Sur"
"Lugares_rutas","Lugares","Cual ruta pasa Mariano Otero"
"Lugares_rutas","Lugares","Cual ruta pasa Chapala"
"Lugares_rutas","Lugares","Cual ruta pasa Centro"
"Lugares_rutas","Lugares","Cual ruta pasa Av Belisario Dominguez"
"Lugares_rutas","Lugares","Cual ruta pasa Periferico"
"Lugares_rutas","Lugares","Cual ruta pasa Av 18 de marzo"
"Lugares_rutas","Lugares","Cual ruta pasa Av Chapultepec"
"Lugares_rutas","Lugares","Cual ruta pasa Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Cual ruta pasa Av Lopez Mateos"
"Lugares_rutas","Lugares","Cual ruta pasa Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Cual ruta pasa Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Cual ruta pasa El Fortin"
"Lugares_rutas","Lugares","Cual ruta pasa Expo Guadalajara"
"Lugares_rutas","Lugares","Cual ruta pasa Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Cual camion pasa Plaza del Sol"
"Lugares_rutas","Lugares","Cual camion pasa Plaza patria"
"Lugares_rutas","Lugares","Cual camion pasa Avenida Aviacion"
"Lugares_rutas","Lugares","Cual camion pasa Av Calma"
"Lugares_rutas","Lugares","Cual camion pasa Gran Plaza"
"Lugares_rutas","Lugares","Cual camion pasa Providencia"
"Lugares_rutas","Lugares","Cual camion pasa Glorieta Minerva"
"Lugares_rutas","Lugares","Cual camion pasa Plaza Andares"
"Lugares_rutas","Lugares","Cual camion pasa Plaza Galerias"
"Lugares_rutas","Lugares","Cual camion pasa Zapopan"
"Lugares_rutas","Lugares","Cual camion pasa UVM Sur"
"Lugares_rutas","Lugares","Cual camion pasa Mariano Otero"
"Lugares_rutas","Lugares","Cual camion pasa Chapala"
"Lugares_rutas","Lugares","Cual camion pasa Centro"
"Lugares_rutas","Lugares","Cual camion pasa Av Belisario Dominguez"
"Lugares_rutas","Lugares","Cual camion pasa Periferico"
"Lugares_rutas","Lugares","Cual camion pasa Av 18 de marzo"
"Lugares_rutas","Lugares","Cual camion pasa Av Chapultepec"
"Lugares_rutas","Lugares","Cual camion pasa Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Cual camion pasa Av Lopez Mateos"
"Lugares_rutas","Lugares","Cual camion pasa Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Cual camion pasa Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Cual camion pasa El Fortin"
"Lugares_rutas","Lugares","Cual camion pasa Expo Guadalajara"
"Lugares_rutas","Lugares","Cual camion pasa Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Cual camion puedo Plaza del Sol"
"Lugares_rutas","Lugares","Cual camion puedo Plaza patria"
"Lugares_rutas","Lugares","Cual camion puedo Avenida Aviacion"
"Lugares_rutas","Lugares","Cual camion puedo Av Calma"
"Lugares_rutas","Lugares","Cual camion puedo Gran Plaza"
"Lugares_rutas","Lugares","Cual camion puedo Providencia"
"Lugares_rutas","Lugares","Cual camion puedo Glorieta Minerva"
"Lugares_rutas","Lugares","Cual camion puedo Plaza Andares"
"Lugares_rutas","Lugares","Cual camion puedo Plaza Galerias"
"Lugares_rutas","Lugares","Cual camion puedo Zapopan"
"Lugares_rutas","Lugares","Cual camion puedo UVM Sur"
"Lugares_rutas","Lugares","Cual camion puedo Mariano Otero"
"Lugares_rutas","Lugares","Cual camion puedo Chapala"
"Lugares_rutas","Lugares","Cual camion puedo Centro"
"Lugares_rutas","Lugares","Cual camion puedo Av Belisario Dominguez"
"Lugares_rutas","Lugares","Cual camion puedo Periferico"
"Lugares_rutas","Lugares","Cual camion puedo Av 18 de marzo"
"Lugares_rutas","Lugares","Cual camion puedo Av Chapultepec"
"Lugares_rutas","Lugares","Cual camion puedo Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Cual camion puedo Av Lopez Mateos"
"Lugares_rutas","Lugares","Cual camion puedo Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Cual camion puedo Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Cual camion puedo El Fortin"
"Lugares_rutas","Lugares","Cual camion puedo Expo Guadalajara"
"Lugares_rutas","Lugares","Cual camion puedo Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Que camion puedo Plaza del Sol"
"Lugares_rutas","Lugares","Que camion puedo Plaza patria"
"Lugares_rutas","Lugares","Que camion puedo Avenida Aviacion"
"Lugares_rutas","Lugares","Que camion puedo Av Calma"
"Lugares_rutas","Lugares","Que camion puedo Gran Plaza"
"Lugares_rutas","Lugares","Que camion puedo Providencia"
"Lugares_rutas","Lugares","Que camion puedo Glorieta Minerva"
"Lugares_rutas","Lugares","Que camion puedo Plaza Andares"
"Lugares_rutas","Lugares","Que camion puedo Plaza Galerias"
"Lugares_rutas","Lugares","Que camion puedo Zapopan"
"Lugares_rutas","Lugares","Que camion puedo UVM Sur"
"Lugares_rutas","Lugares","Que camion puedo Mariano Otero"
"Lugares_rutas","Lugares","Que camion puedo Chapala"
"Lugares_rutas","Lugares","Que camion puedo Centro"
"Lugares_rutas","Lugares","Que camion puedo Av Belisario Dominguez"
"Lugares_rutas","Lugares","Que camion puedo Periferico"
"Lugares_rutas","Lugares","Que camion puedo Av 18 de marzo"
"Lugares_rutas","Lugares","Que camion puedo Av Chapultepec"
"Lugares_rutas","Lugares","Que camion puedo Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Que camion puedo Av Lopez Mateos"
"Lugares_rutas","Lugares","Que camion puedo Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Que camion puedo Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Que camion puedo El Fortin"
"Lugares_rutas","Lugares","Que camion puedo Expo Guadalajara"
"Lugares_rutas","Lugares","Que camion puedo Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Cual ruta puedo Plaza del Sol"
"Lugares_rutas","Lugares","Cual ruta puedo Plaza patria"
"Lugares_rutas","Lugares","Cual ruta puedo Avenida Aviacion"
"Lugares_rutas","Lugares","Cual ruta puedo Av Calma"
"Lugares_rutas","Lugares","Cual ruta puedo Gran Plaza"
"Lugares_rutas","Lugares","Cual ruta puedo Providencia"
"Lugares_rutas","Lugares","Cual ruta puedo Glorieta Minerva"
"Lugares_rutas","Lugares","Cual ruta puedo Plaza Andares"
"Lugares_rutas","Lugares","Cual ruta puedo Plaza Galerias"
"Lugares_rutas","Lugares","Cual ruta puedo Zapopan"
"Lugares_rutas","Lugares","Cual ruta puedo UVM Sur"
"Lugares_rutas","Lugares","Cual ruta puedo Mariano Otero"
"Lugares_rutas","Lugares","Cual ruta puedo Chapala"
"Lugares_rutas","Lugares","Cual ruta puedo Centro"
"Lugares_rutas","Lugares","Cual ruta puedo Av Belisario Dominguez"
"Lugares_rutas","Lugares","Cual ruta puedo Periferico"
"Lugares_rutas","Lugares","Cual ruta puedo Av 18 de marzo"
"Lugares_rutas","Lugares","Cual ruta puedo Av Chapultepec"
"Lugares_rutas","Lugares","Cual ruta puedo Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Cual ruta puedo Av Lopez Mateos"
"Lugares_rutas","Lugares","Cual ruta puedo Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Cual ruta puedo Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Cual ruta puedo El Fortin"
"Lugares_rutas","Lugares","Cual ruta puedo Expo Guadalajara"
"Lugares_rutas","Lugares","Cual ruta puedo Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Que ruta puedo Plaza del Sol"
"Lugares_rutas","Lugares","Que ruta puedo Plaza patria"
"Lugares_rutas","Lugares","Que ruta puedo Avenida Aviacion"
"Lugares_rutas","Lugares","Que ruta puedo Av Calma"
"Lugares_rutas","Lugares","Que ruta puedo Gran Plaza"
"Lugares_rutas","Lugares","Que ruta puedo Providencia"
"Lugares_rutas","Lugares","Que ruta puedo Glorieta Minerva"
"Lugares_rutas","Lugares","Que ruta puedo Plaza Andares"
"Lugares_rutas","Lugares","Que ruta puedo Plaza Galerias"
"Lugares_rutas","Lugares","Que ruta puedo Zapopan"
"Lugares_rutas","Lugares","Que ruta puedo UVM Sur"
"Lugares_rutas","Lugares","Que ruta puedo Mariano Otero"
"Lugares_rutas","Lugares","Que ruta puedo Chapala"
"Lugares_rutas","Lugares","Que ruta puedo Centro"
"Lugares_rutas","Lugares","Que ruta puedo Av Belisario Dominguez"
"Lugares_rutas","Lugares","Que ruta puedo Periferico"
"Lugares_rutas","Lugares","Que ruta puedo Av 18 de marzo"
"Lugares_rutas","Lugares","Que ruta puedo Av Chapultepec"
"Lugares_rutas","Lugares","Que ruta puedo Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Que ruta puedo Av Lopez Mateos"
"Lugares_rutas","Lugares","Que ruta puedo Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Que ruta puedo Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Que ruta puedo El Fortin"
"Lugares_rutas","Lugares","Que ruta puedo Expo Guadalajara"
"Lugares_rutas","Lugares","Que ruta puedo Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Cual va Plaza del Sol"
"Lugares_rutas","Lugares","Cual va Plaza patria"
"Lugares_rutas","Lugares","Cual va Avenida Aviacion"
"Lugares_rutas","Lugares","Cual va Av Calma"
"Lugares_rutas","Lugares","Cual va Gran Plaza"
"Lugares_rutas","Lugares","Cual va Providencia"
"Lugares_rutas","Lugares","Cual va Glorieta Minerva"
"Lugares_rutas","Lugares","Cual va Plaza Andares"
"Lugares_rutas","Lugares","Cual va Plaza Galerias"
"Lugares_rutas","Lugares","Cual va Zapopan"
"Lugares_rutas","Lugares","Cual va UVM Sur"
"Lugares_rutas","Lugares","Cual va Mariano Otero"
"Lugares_rutas","Lugares","Cual va Chapala"
"Lugares_rutas","Lugares","Cual va Centro"
"Lugares_rutas","Lugares","Cual va Av Belisario Dominguez"
"Lugares_rutas","Lugares","Cual va Periferico"
"Lugares_rutas","Lugares","Cual va Av 18 de marzo"
"Lugares_rutas","Lugares","Cual va Av Chapultepec"
"Lugares_rutas","Lugares","Cual va Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Cual va Av Lopez Mateos"
"Lugares_rutas","Lugares","Cual va Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Cual va Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Cual va El Fortin"
"Lugares_rutas","Lugares","Cual va Expo Guadalajara"
"Lugares_rutas","Lugares","Cual va Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Que camion me lleva Plaza del Sol"
