"Intent","Question","Answer","Entity"
"Rutas_anden","De cual anden","N/A",
"Rutas_anden","De cual anden Plaza del Sol","N/A","Lugares"
"Rutas_anden","De cual anden Plaza patria","N/A","Lugares"
"Rutas_anden","De cual anden Avenida Aviacion","La ruta Aviacion del turno administrativo sale del anden 16","Lugares"
"Rutas_anden","De cual anden Av Calma","N/A","Lugares"
"Rutas_anden","De cual anden Gran Plaza","N/A","Lugares"
"Rutas_anden","De cual anden Providencia","N/A","Lugares"
"Rutas_anden","De cual anden Glorieta Minerva","N/A","Lugares"
"Rutas_anden","De cual anden Plaza Andares","N/A","Lugares"
"Rutas_anden","De cual anden Plaza Galerias","N/A","Lugares"
"Rutas_anden","De cual anden Zapopan","N/A","Lugares"
"Rutas_anden","De cual anden UVM Sur","N/A","Lugares"
"Rutas_anden","De cual anden Mariano Otero","La ruta Mariano Otero del turno administrativo sale del anden 13","Lugares"
"Rutas_anden","De cual anden Chapala","La ruta Chapala del turno administrativo sale del anden 5","Lugares"
"Rutas_anden","De cual anden Centro","N/A","Lugares"
"Rutas_anden","De cual anden Av Belisario Dominguez","N/A","Lugares"
"Rutas_anden","De cual anden Periferico","N/A","Lugares"
"Rutas_anden","De cual anden Av 18 de marzo","N/A","Lugares"
"Rutas_anden","De cual anden Av Chapultepec","N/A","Lugares"
"Rutas_anden","De cual anden Av Lazaro Cardenas","N/A","Lugares"
"Rutas_anden","De cual anden Av Lopez Mateos","N/A","Lugares"
"Rutas_anden","De cual anden Av Lopez Mateos Sur","N/A","Lugares"
"Rutas_anden","De cual anden Periferico esquina con Vallarta","N/A","Lugares"
"Rutas_anden","De cual anden El Fortin","N/A","Lugares"
"Rutas_anden","De cual anden Expo Guadalajara","N/A","Lugares"
"Rutas_anden","De cual anden Fraccionamiento Revolucion","N/A","Lugares"
"Rutas_anden","De que anden","N/A",
"Rutas_anden","De que anden Plaza del Sol","N/A","Lugares"
"Rutas_anden","De que anden Plaza patria","N/A","Lugares"
"Rutas_anden","De que anden Avenida Aviacion","La ruta Aviacion del turno administrativo sale del anden 16","Lugares"
"Rutas_anden","De que anden Av Calma","N/A","Lugares"
"Rutas_anden","De que anden Gran Plaza","N/A","Lugares"
"Rutas_anden","De que anden Providencia","N/A","Lugares"
"Rutas_anden","De que anden Glorieta Minerva","N/A","Lugares"
"Rutas_anden","De que anden Plaza Andares","N/A","Lugares"
"Rutas_anden","De que anden Plaza Galerias","N/A","Lugares"
"Rutas_anden","De que anden Zapopan","N/A","Lugares"
"Rutas_anden","De que anden UVM Sur","N/A","Lugares"
"Rutas_anden","De que anden Mariano Otero","La ruta Mariano Otero del turno administrativo sale del anden 13","Lugares"
"Rutas_anden","De que anden Chapala","La ruta Chapala del turno administrativo sale del anden 5","Lugares"
"Rutas_anden","De que anden Centro","N/A","Lugares"
"Rutas_anden","De que anden Av Belisario Dominguez","N/A","Lugares"
"Rutas_anden","De que anden Periferico","N/A","Lugares"
"Rutas_anden","De que anden Av 18 de marzo","N/A","Lugares"
"Rutas_anden","De que anden Av Chapultepec","N/A","Lugares"
"Rutas_anden","De que anden Av Lazaro Cardenas","N/A","Lugares"
"Rutas_anden","De que anden Av Lopez Mateos","N/A","Lugares"
"Rutas_anden","De que anden Av Lopez Mateos Sur","N/A","Lugares"
"Rutas_anden","De que anden Periferico esquina con Vallarta","N/A","Lugares"
"Rutas_anden","De que anden El Fortin","N/A","Lugares"
"Rutas_anden","De que anden Expo Guadalajara","N/A","Lugares"
"Rutas_anden","De que anden Fraccionamiento Revolucion","N/A","Lugares"
