Value,Intent
Que camion pasa,Lugares_rutas
Que ruta pasa,Lugares_rutas
Cual ruta pasa,Lugares_rutas
Cual camion pasa,Lugares_rutas
Cual camion puedo,Lugares_rutas
Que camion puedo,Lugares_rutas
Cual ruta puedo,Lugares_rutas
Que ruta puedo,Lugares_rutas
Cual va,Lugares_rutas
Que camion me lleva,Lugares_rutas
Cual camion me lleva,Lugares_rutas
Como llego a,Lugares_rutas
Como me voy,Lugares_rutas
Tengo que ir,Lugares_rutas
Necesito llegar,Lugares_rutas
Necesito ir,Lugares_rutas
sabes que camion te deja en centro sur,Lugares_rutas
